Text_nums,Unique_Texts
1,The ping pong ball with black text
2,The orange ping pong ball
3,The ping pong ball with no text
4,The green ping pong ball
5,The white ping pong ball
6,The ping pong ball with blue text
7,Tent with white lettering
8,Purple and blue tent
9,White and black tent
10,The pants have white lines
11,The beige pants
12,The light blue jeans
13,The dark blue pants
14,Pig with a lot of dirt on fur
15,Largest pig
16,Smallest pig
17,Pig with very little dirt on fur
18,the car with its hood open
19,the blue car
20,the purple car
21,the car with a burgundy roof
22,the airplane that is taking off
23,the air plane with blue bottom
24,"the airplane with three-color(red, yellow, blue) tail"
25,the airplane that has not taken off
26,The hoodie has the words duluth minnesota
27,"The black, green, and white hoodie"
28,The purple hoodie with white lettering
29,The logo says up north
30,The orange hoodie with blue letters
31,The logo says the twin ports
32,Monkey with hand in mouth
33,Monkey looking to the left
34,Monkey with hands by side
35,Monkey looking to the right
36,the red bus
37,the double decker bus without roof
38,the double decker bus with closed roof
39,the blue bus
40,The round mouse
41,The black and grey mouse
42,The penguin is eating a fish
43,The penguin has a white body with black accents
44,The book with the man
45,Purple book
46,The red book
47,The book with the bird
48,The pink and grey book
49,The book with the photo
50,Red stop sign
51,Green lake sign
52,Green Merrivac sgin
53,White top with black mark
54,Medium sized brown drum
55,Small and black drum
56,Drum with drumsticks on top
57,Big blue drum
58,The silver monitor
59,The glowing monutor
60,The rounded keyboard
61,The black keyboard
62,The vertical computer box
63,The silver computer box
64,The straight monitor
65,The black monitor
66,The tilted monitor
67,The active monitor
68,The rectangular keyboard
69,Cymbal with spoke sticking out
70,White soccer ball
71,Ball with black dots
72,Blue soccer ball
73,Ball with colorful swirls
74,The white speaker
75,The short speaker
76,The middle-sized speaker
77,The brown speaker
78,The tall speaker
79,The black speaker
80,The taller speaker
81,The shorter speaker
82,the blue bicycle
83,the black motorcycle
84,Red fire hydrant
85,the vehicle turning left
86,the sliver car
87,the white bus
88,the vehicle turning right
89,The teal chair with metal legs
90,The blue chair with metal legs
91,The red chair with metals legs
92,The yellow chair with metal legs
93,The pig laying down
94,The pig facing left
95,The pig sitting up
96,The pig facing forward
97,Baseball with red text
98,Baseball with a blue circle
99,White and green baseball
100,the red car
101,the car with white roof
102,"the car off the road, on the grass"
103,the yellow car
104,the car with black roof
105,the car on the road
106,The tennis ball with white lines
107,The orange tennis ball
108,The rifle with a magazine
109,The gun with a smaller scope
110,The smallest gun
111,The pistol
112,The rifle with no scope
113,The gun with the largest scope
114,the red motorcycle
115,The white monitor
116,The bezeled monitor
117,The grey monitor
118,The thin monitor
119,The fat monitor
120,The phone with the ovular black buttons and green screen no antenna
121,The grey and black cell phone
122,The dark and light grey cell phone
123,The cell phone with the long grey antenna and white keys
124,"The phone with rectangular black keys, green screen and black antenna"
125,The all black phone
126,The pink silver cell phone
127,The phone with the black screen and white stickers
128,The gun with text inscription
129,The golden gun
130,the red bike
131,the blue bike
132,the bike with a soccer in its basket
133,the white airplane
134,the airplane with red tail
135,the grey airplane
136,the airplane with blue tail
137,The elephant is gray and small
138,The baby elephant is walking by following his mother
139,The elephant is walking next to the baby elephant
140,The elephant is an adult elephant
141,Lion with paws apart
142,Lion with eyes and mouth open
143,Lion with paws together
144,Lion with eyes and mouth closed
145,Tiger looking right
146,The tiger sitting down
147,Tiger looking left
148,The tiger standing
149,The sticky note monitor
150,The monitor with no sticky note
151,The white keyboard
158,The glowing computer box
159,The white mouse
160,The illuminated mouse
166,the green bicycle
167,The old monitor
168,The off monitor
169,The on monitor
170,The large monitor
171,The large keyboard
172,The grey keyboard
173,The glowing laptop
174,The denim shorts with flower pattern
175,The shorts have the american flag on them
176,The Denim shorts
177,The shorts with white seams
178,The blue shorts
179,The shorts have a suede like material
180,The black shorts
181,The shorts with one zipper
182,The leather shorts
183,The pink sneakers with black and green accents
184,The blue shoes with pink and green accents
185,The sneakers are black and pink
186,The nike sneakers
187,The car is gray
188,The car is driving along a road
189,The car is a hatchback
190,The giraffe is looking down at the gray car
191,The giraffe has a white body with brown spots
192,The sheep is looking at his mother
193,The sheep is a baby sheep with white fur
194,The sheep is taking care of her young
195,The sheep is a full grown sheep with white fur
196,The bear is eating a fish
197,The bear has brown fur
198,The bear is a brown grizzly
199,The butterfly with small white shapes at the wing edges
200,The butterfly with ovals on its wings
201,The rabbit with two ears up
202,Rabbit with white and brown fur
203,The rabbit with one ear up
204,Rabbit with white and orange fur
205,The surfboard with black text at the top
206,The surfboard with black designs
207,The person is feeding the fish to penguin
208,The penguin is eating fish
209,The rabbit with white and black fur
210,The rabbit with a large vegetable in its mouth
211,The rabbit with brown fur
212,The rabbit with a small vegetable in its mouth
213,The tiger with its mouth open
214,The tiger with black lines and white fur
215,The tiger with its mouth closed
216,The tiger with black stripes and orange fur
217,The volleyball with text on it
218,"The volleyball with red, white, green swirls"
219,The skateboard with colorful drawings
220,The skateboard with a yellow background
221,The skateboard with black coloring
222,The skateboard with a yellow lightning bolt in the center
